"","nuc.power1","nuc.power2","CO2Price","ban.fuel.explore1","ban.fuel.explore2","RFS1","RFS2","id","p1.utility","p2.utility","p3.utility","p4.utility","group.score","group.sd","predicted.probability"
"53",0,0,120,0,1,0,1,143,20.9562238382322,-21.8961173498375,-1.85819887731467,-0.939697914820234,-0.934447575935037,17.5066314931041,0.934377405390387
"54",0,0,30,0,1,0,1,160,20.9562238382322,-21.8961173498375,-1.85819887731467,-0.939697914820234,-0.934447575935037,17.5066314931041,0.934377405390387
"55",1,0,150,1,0,1,0,132,-42.0352978596848,22.9326300172269,-1.37547526658295,-0.865227956998499,-5.33584276650984,26.966815812342,0.549496399541182
"56",0,1,150,1,0,1,0,15,-41.9548156346207,22.5377774099579,-0.894255789048912,-1.94614807648613,-5.56436052254947,26.7637610658396,0.48218593531642
"57",1,0,150,0,0,1,0,39,-42.186959565787,23.2560246117962,-1.32927914263811,-4.69398941249832,-6.2385508772818,27.0105207255728,0.333097590024322
"58",0,1,150,0,0,1,0,34,-42.1064773407229,22.8611720045272,-0.848059665104076,-5.77490953198595,-6.46706863332143,26.8475045266857,0.277695523020863
"59",1,0,30,1,0,1,0,7,-40.8067271413464,22.2804251749792,-2.69684728151608,-4.28848738458058,-6.37790915811599,25.9779363714477,0.260158840117188
"60",1,0,120,1,0,1,0,37,-40.8067271413464,22.2804251749792,-2.69684728151608,-4.28848738458058,-6.37790915811599,25.9779363714477,0.260158840117188
"61",1,0,60,1,0,1,0,45,-40.8067271413464,22.2804251749792,-2.69684728151608,-4.28848738458058,-6.37790915811599,25.9779363714477,0.260158840117188
"62",1,0,0,1,0,1,0,99,-40.8067271413464,22.2804251749792,-2.69684728151608,-4.28848738458058,-6.37790915811599,25.9779363714477,0.260158840117188
"63",1,0,90,1,0,1,0,101,-40.8067271413464,22.2804251749792,-2.69684728151608,-4.28848738458058,-6.37790915811599,25.9779363714477,0.260158840117188
"64",0,0,150,1,0,1,0,90,-42.4860551990629,20.6843502356592,-2.92708693999953,-1.56424208985938,-6.57325849831565,26.2747725215432,0.235153743173106
"65",0,1,120,1,0,1,0,21,-40.7262449162823,21.8855725677101,-2.21562780398204,-5.36940750406821,-6.60642691415562,25.7990009420244,0.212466693437225
"66",0,1,60,1,0,1,0,58,-40.7262449162823,21.8855725677101,-2.21562780398204,-5.36940750406821,-6.60642691415562,25.7990009420244,0.212466693437225
"67",0,1,30,1,0,1,0,72,-40.7262449162823,21.8855725677101,-2.21562780398204,-5.36940750406821,-6.60642691415562,25.7990009420244,0.212466693437225
"68",0,1,90,1,0,1,0,97,-40.7262449162823,21.8855725677101,-2.21562780398204,-5.36940750406821,-6.60642691415562,25.7990009420244,0.212466693437225
"69",0,1,0,1,0,1,0,112,-40.7262449162823,21.8855725677101,-2.21562780398204,-5.36940750406821,-6.60642691415562,25.7990009420244,0.212466693437225
"70",1,0,120,0,0,1,0,20,-40.9583888474487,22.6038197695485,-2.65065115757125,-8.1172488400804,-7.28061726888795,26.1368731500145,0.128491715690371
"71",1,0,0,0,0,1,0,73,-40.9583888474487,22.6038197695485,-2.65065115757125,-8.1172488400804,-7.28061726888795,26.1368731500145,0.128491715690371
"72",1,0,60,0,0,1,0,75,-40.9583888474487,22.6038197695485,-2.65065115757125,-8.1172488400804,-7.28061726888795,26.1368731500145,0.128491715690371
"73",1,0,90,0,0,1,0,107,-40.9583888474487,22.6038197695485,-2.65065115757125,-8.1172488400804,-7.28061726888795,26.1368731500145,0.128491715690371
"74",1,0,30,0,0,1,0,135,-40.9583888474487,22.6038197695485,-2.65065115757125,-8.1172488400804,-7.28061726888795,26.1368731500145,0.128491715690371
"75",0,0,150,0,0,1,0,18,-42.6377169051651,21.0077448302286,-2.8808908160547,-5.3930035453592,-7.47596660908761,26.2876647746335,0.11119451472173
"76",0,1,90,0,0,1,0,16,-40.8779066223845,22.2089671622795,-2.16943168003721,-9.19816895956803,-7.50913502492758,26.0000370703347,0.102412082711358
"77",0,1,60,0,0,1,0,49,-40.8779066223845,22.2089671622795,-2.16943168003721,-9.19816895956803,-7.50913502492758,26.0000370703347,0.102412082711358
"78",0,1,30,0,0,1,0,57,-40.8779066223845,22.2089671622795,-2.16943168003721,-9.19816895956803,-7.50913502492758,26.0000370703347,0.102412082711358
"79",0,1,120,0,0,1,0,67,-40.8779066223845,22.2089671622795,-2.16943168003721,-9.19816895956803,-7.50913502492758,26.0000370703347,0.102412082711358
"80",0,1,0,0,0,1,0,116,-40.8779066223845,22.2089671622795,-2.16943168003721,-9.19816895956803,-7.50913502492758,26.0000370703347,0.102412082711358
"81",0,0,60,1,0,1,0,27,-41.2574844807245,20.0321453934115,-4.24845895493267,-4.98750151744145,-7.6153248899218,25.2614248535983,0.0810450848838781
"82",0,0,90,1,0,1,0,70,-41.2574844807245,20.0321453934115,-4.24845895493267,-4.98750151744145,-7.6153248899218,25.2614248535983,0.0810450848838781
"83",0,0,0,1,0,1,0,127,-41.2574844807245,20.0321453934115,-4.24845895493267,-4.98750151744145,-7.6153248899218,25.2614248535983,0.0810450848838781
"84",0,0,30,1,0,1,0,147,-41.2574844807245,20.0321453934115,-4.24845895493267,-4.98750151744145,-7.6153248899218,25.2614248535983,0.0810450848838781
"85",0,0,120,1,0,1,0,156,-41.2574844807245,20.0321453934115,-4.24845895493267,-4.98750151744145,-7.6153248899218,25.2614248535983,0.0810450848838781
"86",0,0,0,0,0,1,0,29,-41.4091461868268,20.3555399879808,-4.20226283098783,-8.81626297294128,-8.51803300069376,25.3917529723688,0.0354576391998016
"87",0,0,30,0,0,1,0,55,-41.4091461868268,20.3555399879808,-4.20226283098783,-8.81626297294128,-8.51803300069376,25.3917529723688,0.0354576391998016
"88",0,0,60,0,0,1,0,61,-41.4091461868268,20.3555399879808,-4.20226283098783,-8.81626297294128,-8.51803300069376,25.3917529723688,0.0354576391998016
"89",0,0,90,0,0,1,0,84,-41.4091461868268,20.3555399879808,-4.20226283098783,-8.81626297294128,-8.51803300069376,25.3917529723688,0.0354576391998016
"90",0,0,120,0,0,1,0,136,-41.4091461868268,20.3555399879808,-4.20226283098783,-8.81626297294128,-8.51803300069376,25.3917529723688,0.0354576391998016
"91",1,0,150,1,0,0,0,144,-40.861559147746,5.63572358758496,-2.1291871114316,-3.36217670110753,-10.179299843175,20.8390137728597,0.00274180886435203
"92",0,1,150,1,0,0,0,71,-40.7810769226819,5.24087098031592,-1.64796763389757,-4.44309682059516,-10.4078175992147,20.6537260687709,0.00210218930370937
"93",1,0,150,0,0,0,0,35,-41.0132208538482,5.95911818215431,-2.08299098748677,-7.19093815660735,-11.082007953947,20.6752687703299,0.00107778305843108
"94",0,1,150,0,0,0,0,129,-40.9327386287841,5.56426557488527,-1.60177150995273,-8.27185827609498,-11.3105257099866,20.5404275110089,0.000834613265540426
