"","nuc.power1","nuc.power2","CO2Price","ban.fuel.explore1","ban.fuel.explore2","RFS1","RFS2","id","p1.utility","p2.utility","p3.utility","p4.utility","group.score","group.sd","var.total","mean.total","new.utility"
"53",1,0,90,0,1,1,0,96,1.05190422428685,-23.5124539095798,-1.26023059843649,0.161990238920129,-5.88969751120232,11.7870305315076,0.576114727102345,0.848777670891523,2.32213918218249
"54",0,0,30,0,0,0,0,40,-9.15870420189751,-6.85111184701903,-3.66486900535639,-0.0955148665430468,-4.94254998020399,3.93889929155825,1.26193255275106,0.131800068793726,2.31238448366709
"55",1,0,30,0,0,0,0,62,-5.38395952935548,-7.07494851544404,-3.43293167527573,0.966757903624573,-3.73127045411267,3.46756593949881,1.14260687719237,0.237081290532843,2.31201032990377
"56",1,0,60,1,0,1,0,54,-4.12261378478236,-23.5243899677393,-0.691247506193993,-0.676177589225871,-7.25360721198539,10.9676590737902,2.18329059055717,-0.58105071538989,2.2871570252305
"57",1,0,0,0,0,1,0,52,-4.66318828441122,-23.2467772717076,-2.47295868715609,-0.341621892273356,-7.68113653388706,10.5260118258381,0.86105642727335,0.47844073085018,2.27967681422926
"58",1,0,120,0,1,0,0,21,0.331132979342592,-7.34062515331625,-2.22020358655612,1.47037003481806,-1.93983143142793,3.91722413481503,0.735057345990227,0.607418230574187,2.27165626479807
"59",1,0,0,0,1,0,0,137,0.331132979342592,-7.34062515331625,-2.22020358655612,1.47037003481806,-1.93983143142793,3.91722413481503,0.731721859120175,0.607418230574187,2.2678760456451
"60",0,1,90,0,1,0,1,47,-0.330190676497597,18.5942488137176,-0.316802888078626,0.904576437565933,4.71295792167683,9.27228572943036,1.69963285166551,-0.274766206393184,2.25588557629093
"61",1,0,150,1,0,1,0,1,-1.54894920543985,-22.1775520945651,0.075306148226308,-1.39445845282327,-6.26141340115047,10.6359775419777,1.08283273090744,0.230054809862274,2.24998108900758
"62",0,1,30,1,0,0,0,45,-10.522922647143,-8.2003615325964,-3.56627737678842,-0.81711371797715,-5.77666881862625,4.39257816849386,1.09161030379975,0.200966013348187,2.22906265161732
"63",0,0,30,0,1,1,0,14,-2.72284044825518,-23.2886172411548,-1.49216792851715,-0.90028253124749,-7.10097703729365,10.8184276019815,0.580148603574781,0.743496449152406,2.22200710060166
"64",0,0,60,0,0,0,0,124,-9.15870420189751,-6.85111184701903,-3.66486900535639,-0.0955148665430468,-4.94254998020399,3.93889929155825,1.14260687719237,0.131800068793726,2.20672910816466
"65",1,0,0,0,1,1,0,37,1.05190422428685,-23.5124539095798,-1.26023059843649,0.161990238920129,-5.88969751120232,11.7870305315076,0.489321477625885,0.848777670891523,2.20662821688504
"66",0,1,150,0,1,0,1,155,2.24347390284491,19.9410866868919,0.449750766341674,0.186295573968537,5.70515173251175,9.53453494820558,0.735057345990227,0.53633931885898,2.20057735308286
"67",0,0,60,0,1,0,0,41,-3.44361169319944,-7.11678848489124,-2.45214091663678,0.408097264650438,-3.15111095751925,3.10744682004848,0.764047310897141,0.502137008835069,2.19887567843684
"68",1,0,30,0,0,1,0,58,-4.66318828441122,-23.2467772717076,-2.47295868715609,-0.341621892273356,-7.68113653388706,10.5260118258381,0.764047310897141,0.47844073085018,2.17517940045195
"69",0,0,120,0,1,0,0,99,-3.44361169319944,-7.11678848489124,-2.45214091663678,0.408097264650438,-3.15111095751925,3.10744682004848,0.735057345990227,0.502137008835069,2.16637504305895
"70",1,0,90,0,1,0,0,162,0.331132979342592,-7.34062515331625,-2.22020358655612,1.47037003481806,-1.93983143142793,3.91722413481503,0.580148603574781,0.607418230574187,2.08592888202344
